From,Entry,Entry Name,Protein names,Gene Names,Organism,Organism (ID),Length,Mass,Subcellular location [CC],Signal peptide,Helix,Beta strand,Turn,Fragment,Reviewed
A0PSI5,A0PSI5,MASZ_MYCUA,Malate synthase G (EC 2.3.3.9),glcB MUL_3055,Mycobacterium ulcerans (strain Agy99),362242,731,79479,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00641}.,,,,,,reviewed
A1JIP3,A1JIP3,CH60_YERE8,Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60),groEL groL YE0354,Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081),393305,550,57513,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00600}.,,,,,,reviewed
A1JNN2,A1JNN2,CLPP_YERE8,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp),clpP YE3134,Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081),393305,207,23256,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00444}.,,,,,,reviewed
A1JUB7,A1JUB7,YADA_YERE8,Adhesin YadA (Protein Yop1) (Trimeric autotransporter adhesin YadA) (TAA YadA) (Type 5 secretion system autotransporter YadA),yadA yopA YEP0066,Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081),393305,422,44139,"SUBCELLULAR LOCATION: Cell surface {ECO:0000269|PubMed:17921300, ECO:0000305|PubMed:23142870}. Cell outer membrane {ECO:0000269|PubMed:17921300, ECO:0000305|PubMed:23142870}. Note=The C-terminal translocator domain is localized in the outer membrane and the passenger domain is at the cell surface. {ECO:0000305|PubMed:23142870}.","SIGNAL 1..25; /evidence=""ECO:0000255""","HELIX 333..360; /evidence=""ECO:0007829|PDB:2LME""","STRAND 368..380; /evidence=""ECO:0007829|PDB:2LME""; STRAND 383..398; /evidence=""ECO:0007829|PDB:2LME""; STRAND 401..407; /evidence=""ECO:0007829|PDB:2LME""; STRAND 411..422; /evidence=""ECO:0007829|PDB:2LME""","TURN 408..410; /evidence=""ECO:0007829|PDB:2LME""",,reviewed
A5CDL9,A5CDL9,CH60_ORITB,Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60),groEL groL OTBS_0917,Orientia tsutsugamushi (strain Boryong) (Rickettsia tsutsugamushi),357244,554,59715,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00600}.,,,,,,reviewed
B2HSY2,B2HSY2,MASZ_MYCMM,Malate synthase G (EC 2.3.3.9),glcB MMAR_2713,Mycobacterium marinum (strain ATCC BAA-535 / M),216594,731,79479,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00641}.,,"HELIX 14..22; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 32..69; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 78..87; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 107..110; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 124..131; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 132..134; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 138..143; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 162..179; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 187..189; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 214..216; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 250..252; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 281..296; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 364..376; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 377..380; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 407..424; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 440..443; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 446..452; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 464..474; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 476..478; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 484..489; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 491..506; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 526..532; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 535..538; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 549..561; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 564..571; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 579..582; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 595..619; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 638..653; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 659..676; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 690..692; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 694..704; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 706..708; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 710..712; /evidence=""ECO:0007829|PDB:6AXE""; HELIX 715..729; /evidence=""ECO:0007829|PDB:6AXE""","STRAND 4..7; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 10..13; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 72..74; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 116..120; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 135..137; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 192..196; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 199..203; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 205..209; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 211..213; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 217..222; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 224..234; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 237..243; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 257..263; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 267..273; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 301..304; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 309..312; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 318..321; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 325..330; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 335..339; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 346..352; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 358..363; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 393..395; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 397..401; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 431..437; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 457..462; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 513..517; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 542..548; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 624..627; /evidence=""ECO:0007829|PDB:6AXE""; STRAND 633..636; /evidence=""ECO:0007829|PDB:6AXE""","TURN 151..153; /evidence=""ECO:0007829|PDB:6AXE""; TURN 384..386; /evidence=""ECO:0007829|PDB:6AXE""; TURN 453..456; /evidence=""ECO:0007829|PDB:6AXE""; TURN 510..512; /evidence=""ECO:0007829|PDB:6AXE""; TURN 677..679; /evidence=""ECO:0007829|PDB:6AXE""",,reviewed
I3NID5,I3NID5,ENCP2_MYCPA,Type 2A encapsulin shell protein (Major membrane protein-1) (MMP-1),enc2 MAP_2121c,Mycolicibacterium paratuberculosis (strain ATCC BAA-968 / K-10) (Mycobacterium paratuberculosis),262316,307,33671,SUBCELLULAR LOCATION: Encapsulin nanocompartment {ECO:0000250|UniProtKB:Q55032}. Cell membrane {ECO:0000305|PubMed:25500374}.,,,,,,reviewed
I6XFZ8,I6XFZ8,Y3035_MYCTU,Protein Rv3035,Rv3035 RVBD_3035 P425_03163,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,411,42539,,,,,,,reviewed
I6YA32,I6YA32,CHIZ_MYCTU,Cell wall hydrolase ChiZ (EC 3.4.-.-),chiZ Rv2719c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,165,17324,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000255}. Note=Localizes at poles and at midcell regions. {ECO:0000269|PubMed:16942606}.,,,,,,reviewed
I6YET7,I6YET7,Y2963_MYCTU,Putative permease Rv2963,Rv2963 RVBD_2963 P425_03084,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,406,43729,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.,,,,,,reviewed
